state,city,nrows,population,start_date,end_date,date,time,type,geolocation,subgeography,subject_age,subject_race,subject_sex,reason_for_stop,warning_issued,citation_issued,arrest_made,violation,search_conducted,search_basis,frisk_performed,contraband_found,shapefiles,rds,csv_zip,has_pedestrian_stops,state_with_local_data
OH,Statewide,7225577,11609756,2010-01-01,2017-12-31,1,1,1,1,0.999,0,0.913,0.913,0,1,0,1,0.493,1,1,0,0.19840000000000002,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_oh_statewide_2020_04_01.csv.zip,FALSE,FALSE
OK,Oklahoma City,945107,629191,2011-01-01,2020-11-19,1,1,0.7963,1,0.9375,0.7652,0.9968,0.9962,0,0,1,0.23129999999999995,1,0,0,0,0,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_ok_oklahoma_city_shapefiles_2023_01_26.tgz,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_ok_oklahoma_city_2023_01_26.rds,https://stacks.stanford.edu/file/druid:wb225bk3255/wb225bk3255_ok_oklahoma_city_2023_01_26.csv.zip,TRUE,FALSE
OK,Tulsa,438248,401352,2009-01-01,2016-12-31,1,1,0.7061999999999999,1,0.8446,0,0.9902,0.9915,0,0,0,0,1,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ok_tulsa_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ok_tulsa_2020_04_01.csv.zip,TRUE,FALSE
OR,Statewide,1058518,4025127,2010-01-01,2014-01-01,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_or_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_or_statewide_2020_04_01.csv.zip,FALSE,FALSE
PA,Philadelphia,1865096,1569657,2014-01-01,2018-04-14,1,1,1,1,1,0.9976,1,0.9997,0,0,0,1,0,1,0,1,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_pa_philadelphia_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_pa_philadelphia_2020_04_01.csv.zip,TRUE,FALSE
RI,Statewide,509671,1056138,2005-01-02,2015-12-31,1,1,1,1,1,0,0.943,0.9429,0.943,0.943,0.943,0.943,0,1,1,1,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ri_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_ri_statewide_2020_04_01.csv.zip,FALSE,FALSE
SC,Statewide,8983807,4893444,2005-01-01,2016-12-31,1,0,1,1,0.9999,0.9995,1,1,1,0,1,1,0.663,1,0,0,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_sc_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_sc_statewide_2020_04_01.csv.zip,TRUE,FALSE
SD,Statewide,435895,855444,2012-01-01,2016-02-29,1,0.9992,1,1,0.998,0,0,0.9924,0,1,1,0,0.9892,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_sd_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_sd_statewide_2020_04_01.csv.zip,FALSE,FALSE
TN,Nashville,3092351,654187,2010-01-01,2019-03-24,1,0.9982,1,1,0.8738,0.9997,0.9994,0.9959,0.9974,0.9999,0.9999,1,0.9974,1,1,1,1,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tn_nashville_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tn_nashville_2020_04_01.csv.zip,FALSE,FALSE
TN,Statewide,3828141,6597381,2000-01-01,2016-06-26,1,0.9998,1,1,0.9905,0,0.9922,0.9986,0,0,1,0,0.9228,0,0,0,0,,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tn_statewide_2020_04_01.rds,https://stacks.stanford.edu/file/druid:yg821jf8611/yg821jf8611_tn_statewide_2020_04_01.csv.zip,FALSE,FALSE
